,pbmc_1,pbmc_10
SNORA52,2.0212,1.15102
SNORA53,0.426412,0.0
SNORA54,0.0,0.0
SNORA55,0.585614,1.18575
SNORA56,0.0,1.15618
SNORA57,2.06044,0.325934
SNORA59B,0.666746,0.379692
SNORA5A,1.84082,2.01894
SNORA5B,0.0,0.884945
SNORA5C,2.53766,1.70451
SNORA61,0.0,0.0
SNORA64,0.0,0.315398
SNORA65,2.36948,0.674677
SNORA66,0.0,0.0
SNORA67,33.9656,18.4532
SNORA68,4.70431,0.698862
SNORA69,0.0,0.785904
SNORA6,2.23214,1.76005
SNORA70B,0.0,0.920814
SNORA70C,0.0,0.0
SNORA70,0.0,0.0
SNORA71A,0.0,0.293094
SNORA71C,0.0,0.0
SNORA71D,0.0,0.0
SNORA72,5.38222,3.45798
SNORA74A,0.0,0.0
SNORA75,1.36643,0.370546
SNORA50C,0.0,0.0
SNORA77,0.678431,0.944405
SNORA78,2.86425,4.68421
SNORA79,0.0,0.0
SNORA7B,1.56146,1.82116
SNORA80A,0.0,0.0
SNORA81,3.3251,4.79701
SNORA84,0.613605,0.0
SNORA8,3.28105,1.57857
SNORA9,0.0,0.0
SNORD102,5.59594,25.966
SNORD105,0.0,0.0
SNORD109B,0.0,0.0
SNORD110,0.60687,2.30397
SNORD111,0.0,0.0
SNORD113-1,0.0,0.0
SNORD113-2,0.0,0.0
SNORD113-4,0.0,0.0
SNORD113-5,0.0,0.0
SNORD113-6,0.0,0.0
SNORD113-7,0.0,0.0
SNORD113-9,0.0,0.0
SNORD114-10,0.0,0.0
SNORD114-11,0.0,0.0
SNORD114-12,0.0,0.0
SNORD114-13,0.0,0.0
SNORD114-14,0.0,0.0
SNORD114-15,0.0,0.0
SNORD114-16,0.0,0.0
SNORD114-17,0.0,0.0
SNORD114-18,0.0,0.0
SNORD114-19,0.0,0.0
SNORD114-1,0.0,0.0
SNORD114-20,0.0,0.0
SNORD114-21,0.0,0.0
SNORD114-22,0.0,0.0
SNORD114-23,0.0,0.0
SNORD114-24,0.0,0.0
SNORD114-25,0.0,0.0
SNORD114-26,0.0,0.0
SNORD114-27,0.0,0.0
SNORD114-28,0.0,0.0
SNORD114-29,0.0,0.0
SNORD114-2,0.0,0.0
SNORD114-30,0.0,0.0
SNORD114-31,0.0,0.0
SNORD114-3,0.0,0.0
SNORD114-5,0.0,0.0
SNORD114-6,0.0,0.0
SNORD114-7,0.0,0.0
SNORD114-9,0.0,0.0
SNORD115-10,0.0,0.0
SNORD115-11,0.0,0.0
SNORD115-13,0.0,0.0
SNORD115-14,0.0,0.0
SNORD115-16,0.0,0.0
SNORD115-17,0.0,0.0
SNORD115-1,0.0,0.0
SNORD115-20,0.0,0.0
SNORD115-22,0.0,0.0
SNORD115-25,0.0,0.0
SNORD115-26,0.0,0.0
SNORD115-2,0.0,0.0
SNORD115-30,0.0,0.0
SNORD115-31,0.0,0.0
SNORD115-32,0.0,0.0
SNORD115-33,0.0,0.0
SNORD115-35,0.0,0.0
SNORD115-37,0.0,0.0
SNORD115-38,0.0,0.0
SNORD115-39,0.0,0.0
SNORD115-3,0.0,0.0
SNORD115-40,0.0,0.0
SNORD115-41,0.0,0.0
SNORD115-44,0.0,0.0
SNORD115-48,0.0,0.0
SNORD115-4,0.0,0.0
SNORD115-5,0.0,0.0
SNORD115-6,0.0,0.0
SNORD115-7,0.0,0.0
SNORD115-8,0.0,0.0
SNORD115-9,0.0,0.0
SNORD116-10,0.0,0.0
SNORD116-11,0.0,0.0
SNORD116-12,0.0,0.0
SNORD116-13,0.0,0.0
SNORD116-14,0.0,0.0
SNORD116-15,0.0,0.0
SNORD116-16,0.0,0.0
SNORD116-18,0.0,0.0
SNORD116-1,0.0,0.0
SNORD116-22,0.0,1.91758
SNORD116-23,0.0,0.0
SNORD116-24,0.0,0.0
SNORD116-25,0.0,0.0
SNORD116-26,0.0,0.0
SNORD116-27,0.0,0.0
SNORD116-29,0.93652,0.0
SNORD116-2,2.24592,0.0
SNORD116-3,0.725016,0.0
SNORD116-4,1.625912,0.580423
SNORD116-5,0.725016,0.0
SNORD116-8,0.0,0.0
SNORD117,2.82278,3.00065
SNORD11,0.0,0.0
SNORD121A,0.0,0.0
SNORD125,2.17505,0.0
SNORD12,0.0,3.89357
SNORD15A,0.520331,0.0
SNORD15B,1.06219,1.94909
SNORD17,0.45595,0.553921
SNORD18A,0.0,3.46965
SNORD18B,2.61118,0.0
SNORD18C,0.0,0.711213
SNORD1B,2.23832,0.0
SNORD20,0.513514,0.0
SNORD21,0.0,6.17766
SNORD22,0.0,0.616684
SNORD23,5.37474,0.684755
SNORD24,2.96185,0.0
SNORD25,0.0,0.0
SNORD26,0.0,0.0
SNORD27,0.0,0.0
SNORD28,4.62613,0.0
SNORD30,7.18075,3.22182
SNORD32A,42.1564,34.6146
SNORD32B,0.0,0.0
SNORD33,5.2696,2.54621
SNORD34,2.87937,18.8568
SNORD35A,9.84861,4.58878
SNORD36A,7.18075,9.1698
SNORD36C,1.47533,7.28137
SNORD37,0.0,0.0
SNORD38A,3.34463,11.1741
SNORD38B,0.0,0.0
SNORD41,0.0,0.0
SNORD42A,5.42222,1.76446
SNORD42B,3.51223,2.13346
SNORD43,0.0,0.0
SNORD45A,7.49216,0.0
SNORD45B,7.64493,0.241865
SNORD45C,0.0,0.0
SNORD46,0.0,0.0
SNORD48,0.0,4.8787
SNORD49A,1.27416,0.0
SNORD4A,3.65655,0.0
SNORD4B,1.18474,2.69871
SNORD50A,0.0,0.0
SNORD52,1.54921,5.88153
SNORD53,0.0,0.0
SNORD54,3.87302,3.52892
SNORD55,11.255,16.8669
SNORD56B,0.0,0.0
SNORD56,1.30559,0.0
SNORD57,6.83948,1.41632
SNORD58A,1.47533,3.08058
SNORD59A,6.36093,12.7332
SNORD5,0.0,0.0
SNORD60,0.0,0.0
SNORD61,0.0,0.0
SNORD62A,1.831196,0.0
SNORD63,2.10734,9.60057
SNORD65,0.0,5.99032
SNORD66,0.0,0.0
SNORD67,0.0,0.0
SNORD69,1.65369,6.90603
SNORD6,0.0,0.0
SNORD70,0.0,0.0
SNORD71,0.0,0.0
SNORD72,7.1892,0.0
SNORD73A,0.0,0.0
SNORD7,0.0,0.0
SNORD82,0.0,0.0
SNORD84,0.396969,0.0
SNORD86,5.10487,0.0
SNORD88A,0.0,0.0
SNORD88B,0.355433,0.0
SNORD89,12.9582,17.871
SNORD8,0.0,0.0
SNORD90,0.0,0.0
SNORD91A,0.0,0.0
SNORD91B,0.0,0.0
SNORD92,0.0,0.0
SNORD93,0.0,0.0
SNORD94,1.17123,1.11164
SNORD95,2.32381,40.5826
SNORD96A,5.17895,0.0
SNORD96B,0.0,0.0
SNORD97,0.754986,0.644915
SNORD99,0.0,0.0
SNORD9,0.0,0.0
SNPH,6.974025,5.847888
SNRK,55.27196,40.236093
SNRNP200,59.350982,51.202738
SNRNP25,14.52470108468,24.0959
SNRNP27,33.9264,27.21434
SNRNP35,18.600633,24.993052
SNRNP40,27.187619,19.201641
SNRNP48,7.063606,5.3903259
SNRNP70,72.52066,78.59904
SNRPA1,27.87694,27.29639
SNRPA,89.1064,100.8989
SNRPB2,68.575,59.3395
SNRPB,186.115565,190.997381
SNRPC,105.053,98.0339
SNRPD1,24.4121,20.9871
SNRPD2,351.96957,284.289429
SNRPD3,64.17418,53.411588
SNRPE,32.38569,34.11371
SNRPF,60.0164,53.5682
SNRPG,62.212035,43.4406507
SNRPN,174.1244527909,118.654727
SNTA1,5.976796127,5.99602
SNTB1,14.601631,11.129377
SNTB2,2.639969,2.013002
SNTG1,0.0,0.0
SNTG2,0.200827213212,0.04573752
SNTN,0.840104,0.87063
SNUPN,13.2283045,13.551041
SNURF,6.43864,11.9577
SNW1,55.6787300456773,47.14202
SNX10,38.42607,53.778465
SNX11,20.473528,23.0611130001894
SNX12,21.281182,21.574424
SNX13,5.2001297601,5.407594
SNX14,21.3282056,20.426023891834
SNX15,28.13854,29.97209
SNX16,1.934475,1.592269
SNX17,152.086114812902,159.034454546394
SNX18,23.877841,18.571467
SNX19,16.606812,11.009954674
SNX1,58.4044110225417,38.4385820563325
SNX20,30.2658769,20.65709
SNX21,3.86129268,5.2062103806001
SNX22,6.817453,8.806705
SNX24,3.437454,3.1059630938487
SNX25,7.148871,4.972439
SNX27,11.800488,9.4458345
SNX29,14.3698,15.546
SNX2,87.19871,89.13294
SNX30,7.67986,7.23685
SNX31,0.0,0.0
SNX32,0.238023,0.271095
SNX33,3.684878,3.564981
SNX3,174.693971,183.503742
SNX4,16.1305507,14.7951
SNX5,45.19469518,39.59262111
SNX6,61.96994,53.355279
SNX7,1.622893,0.316391
SNX8,11.8469,12.6187
SNX9,9.9531,9.88811
SOAT1,17.4070000003087,12.77001560315
SOAT2,0.253826,0.161058
SOBP,0.191145,0.235583
SOCS1,9.1386,9.06068
SOCS2,6.951717,4.512564
SOCS3,38.1197,81.3946
SOCS4,1.870722,1.056795
SOCS5,7.361825,9.81291
SOCS6,1.08611,1.165604
SOCS7,3.06303,1.670884
SOD1,181.662670082879,165.13588
SOD2,177.448916,312.426677
SOD3,0.0,0.0
SOHLH1,0.0,0.0
SOHLH2,0.0,0.0
CAPN15,36.74993,40.656204
SON,112.71395,98.7643550299
SORBS1,0.2212725,0.30159
SORBS2,0.0824713051544,0.0049436900979616
SORBS3,32.91511,30.81668
SORCS1,0.0,0.0
SORCS2,0.11182,0.0195051
SORCS3,0.146919,0.102448
SORD,10.1202,8.9304438
SORL1,74.40085,58.4062
SORT1,12.342388,12.251259
SOS1,12.392962,9.193013
SOS2,25.982886095,18.673580068
SOSTDC1,0.0,0.0
SOST,0.0,0.0
SOX10,0.0,0.128064
SOX11,0.124979,0.0239031
SOX12,4.79647,4.18837
SOX13,1.888735,1.33916020527
SOX14,0.0,0.0
SOX15,1.422316,0.448899
SOX17,0.0,0.0
SOX18,0.0,0.0
SOX1,0.0,0.0
SOX21,0.0,0.0
SOX2-OT,0.180997,0.00592737
SOX2,0.0,0.0371162
SOX30,0.2828692,0.0906796
SOX3,0.0,0.0
SOX4,15.6114,18.235
SOX5,0.18779589,0.0643774
SOX6,0.062171602574328,0.0704533
SOX7,0.438706,0.314339
SOX8,2.04883,1.4885
SOX9,0.0,0.0
SP100,78.498829,68.615301
SP110,78.321190174995,85.94583
SP140L,24.48718,18.870625
SP140,21.956307,20.86872
SP1,23.41456,18.16884
SP2,18.44773,17.010743
SP3,37.3061,27.9449045748
SP4,8.1192608139,4.510631027
SP5,0.0,0.0
SP6,0.0,0.0
SP7,0.0,0.0266852
SP8,0.0,0.00181349
SP9,0.0,0.00462368
SPA17,2.64721,1.84863
SPACA1,0.0,0.0
SPACA3,0.163439,0.0
SPACA4,0.0,0.140986
SPACA5,0.0752056,0.1713102
SPAG11A,0.0,0.0
SPAG11B,0.0,0.0
SPAG16,5.8392785,4.94593
SPAG17,0.0653034,0.172628
SPAG1,1.78185,1.17198
SPAG4,0.0785223,0.0
SPAG5,1.10699,0.435831
SPAG6,0.0853354,0.0662365
SPAG7,74.11368,88.05816
SPAG8,0.246291,0.796392
SPAG9,6.528193225565,4.414092396215
SPAM1,0.0,0.0
SPANXA2,0.0,0.0
SPANXC,0.0,0.0
SPANXN1,0.0,0.0
SPANXN2,0.0,0.0
SPANXN3,0.0,0.0
SPANXN4,0.0,0.0
SPANXN5,0.0,0.0
SPARCL1,0.0173393,0.0197529
SPARC,10.0040200005891,36.94231
SPAST,10.37220305,8.28265
SPATA12,0.0506817,0.0
SPATA13,25.085829,16.8602968
SPATA16,0.0,0.0
SPATA17,0.0,0.09329959
SPATA18,0.0370809,0.118878
SPATA19,0.0,0.0
SPATA20,9.333677,16.232456
SPATA21,0.16083,0.0723613
SPATA22,0.0,0.0
SPATA24,4.433214,4.75963
SPATA2L,6.84037,6.20856
SPATA2,4.465439,4.91424
SPATA3,0.0,0.0
SPATA4,0.0,0.0
SPATA5L1,3.769099,3.991705
SPATA5,1.841424,1.568942
SPATA6,2.4411305,2.432632
SPATA7,1.87735744,1.78912400088769
SPATA8,0.0,0.0
SPATA9,0.101636,0.0616711
SPATC1,0.435796,0.101432
SPATS1,0.0,0.0
SPATS2L,3.428091,2.7956875
SPATS2,5.0505810874836,2.390894
SPC24,0.36793,0.139684
SPC25,1.42377,0.662535
SPCS1,125.791,111.315
SPCS2,27.8556,19.6907
SPCS3,52.5452,42.8586
SPDEF,0.0285754,0.0795564
SPDYA,0.029591,0.06436
SPDYC,0.596742,0.390607
SPDYE1,0.293718,0.0457052
SPDYE2,0.552011,0.134738
SPDYE3,4.60597,3.62157
SPDYE4,0.0,0.200788
SPDYE5,0.404439,0.00407802
SPDYE6,1.114213,2.404755
SPDYE7P,1.7059,1.29452
SPEF1,0.0668206,0.0
SPEF2,2.2808961,1.043233
SPEG,0.7561886,0.6463203
SPEM1,0.0,0.0
SPEN,13.55773,11.16119
SPERT,0.153223,0.0
SPESP1,0.407383,0.451166
SPG11,19.859218,18.373829
SPG20,14.440048,10.13611606344
SPG21,112.94402,142.39138000042
SPG7,22.377284,20.102934
SPHAR,2.65896,2.95891
SPHK1,5.953051,7.6928818
SPHK2,11.140014,10.4874137789
SPHKAP,0.0,0.0
SPI1,369.74939,560.58712
SPIB,28.89928,29.391789
SPIC,0.018608365202,0.120098476462
SPIN1,14.435204,11.82987
SPIN2A,0.0,0.0
SPIN2B,6.00175,5.33468
SPIN3,1.9077334,0.976636
SPIN4,1.29352,0.529473
SPINK13,0.0,0.0
SPINK14,0.0,0.0
SPINK1,0.0,0.0
SPINK2,6.72953,4.04219
SPINK4,0.0,0.0
SPINK5,0.0,0.0
SPINK6,0.0,0.0
