,pbmc_1,pbmc_10,pbmc_12,pbmc_2,pbmc_4,pbmc_5,pbmc_6,pbmc_7,pbmc_9
ACO2,61.622872,50.2038448,52.9416,35.4187,32.456407,49.1263,53.25638,45.7312,46.525152
AFF3,3.295273,3.2528601,2.4349096,1.6799946,7.9605238,7.1224416,2.0905719,3.170789,2.46796400002597
AIF1,597.2879,828.9441,660.8224,630.7929,511.57069,583.10922,706.51694,880.8984,798.4268
AKNA,77.9833315019424,61.3668593445087,78.96332811378,76.144262502572,170.505107003796,161.73244052714,67.8007286099912,84.28010951178,62.21677690861
ARF4,61.97155,44.870757,63.573104,37.7972717627232,37.027217209601,45.1304000017365,62.8901,58.59106,50.31809
ARID1B,23.61025,19.74059,24.481221,12.966839,20.58521513372,29.244189,21.637985,19.507316,19.239146
ATG12,21.316935,17.598736,20.196375,14.238474,20.795264,20.75065,18.725549,19.242719,17.4611077
BANK1,21.280079,21.30018,20.07219,7.89322,14.247243,22.57408,16.67497,10.0742788,9.564313
BCL2A1,40.19077,45.09686,48.73507,65.000976,53.60185,61.50345,46.369023,63.596748,68.0175
BIN2,241.43896,192.702393,284.06905,158.328579,283.2835116755,284.8473,231.60326,227.72199,249.528865
BTG2,120.781,108.7477171,97.082649,82.3881,129.011,113.53,92.6459,93.9502,82.9799
C15orf48,0.204906,0.259308,0.398888,0.0702227,1.5648736089,1.139293,0.880179,0.662565,0.0
MYDGF,100.319,106.371,87.4867,93.1255,63.711,74.274,107.171,93.955,91.5937
C5AR1,74.6362,70.1336,67.7756,64.2702,47.9837,74.9289,66.5772,100.363,70.9229
CALR,334.600115,329.887,335.033,273.9358,284.11,320.462241,360.641,350.723,329.364808
CAMKK2,36.173618185,35.636512,31.14360985,27.9976552000543,39.9887858,48.0717135015083,36.2365413010321,29.529057,35.9233028000696
CASP10,8.919528040695,7.274994,8.63761712,7.069787,21.1516613,19.837489,6.780658,7.4026367771,7.645184
CCDC50,7.051838,6.37857,7.18472,4.22278,9.149683,14.662601,9.031411,6.5315022,5.365927
CCL3,3.70739,1.271,3.63221,3.1246,7.84395,5.33431,1.70179,8.32272,4.5781
CCL4L2,2.51778,2.493589,3.88662,2.53558,8.49124,6.78887,4.7424,7.792764,7.238176
CD14,645.85,800.9088,512.9779,505.6502,288.5666,444.0863,682.3654,426.3514,561.703
CD1C,21.21737,17.19768,16.306284,11.79246,12.78061,15.71887,21.46131,14.97653,14.17092
CD1D,28.78245,27.112296,14.908763,22.37878,35.22164,52.20271928,24.36776,15.578456,19.48662
CD22,28.55690090025,32.4594900015386,23.02372982373,10.20637,29.159520145389,33.997838,20.6128380871827,12.5661504,12.87679133001
CD302,61.271403848,61.1016579,66.6497866,37.2739565,33.5832,62.853313,87.21838,61.05252385,67.3222
CD38,15.8681200053957,9.495,12.2308847119,4.865992,5.437570483724,10.586928,7.943247,6.675133,12.624816
CD8A,123.580148,99.817693,179.16116,87.202916,175.99958,222.6481,156.386861,273.44714,184.815014
CD8B,106.321386094892,89.0062100011628,168.40927,88.02572,100.05265,123.3086,140.334971,175.33851,74.210313
CDC42SE2,205.524599,158.46545,238.52668,108.616390860617,127.79848,179.6171,176.31217,158.1748,149.97739
CDKN1B,173.918,124.158,132.939,118.431,106.229,112.798,108.099,100.733,88.3943
CDKN1C,28.113195,45.40141,140.48674,56.22309,95.32494,98.17002,27.569982,118.22512,86.56318
CEBPD,220.554,230.71,136.051,210.487,126.454,196.996,122.03,196.548,190.899
CFD,227.3373,386.30031,231.372248,244.89871,101.591,195.58422,276.62763,171.59433,225.71061
CFP,336.889088,447.03565,278.333847,319.14936,212.80443,283.10945,421.066832,300.7892631,347.028135
CHD2,34.2511924,30.3182385,36.2014087,29.105292,61.332103595,70.42584824,29.7259253,32.235256,28.5249671006625
CITED2,60.6271,62.1725,69.7166,51.455,42.2804,62.0263,64.1586,61.3767,62.4456
CLEC12A,36.262686400451,33.565965,67.100323,56.4445900040129,54.926,231.3702,57.953500017161,62.94553,62.66904
CLEC7A,48.466198,45.025059,48.355809118625,37.05423,120.8660172936,172.99474,53.0272609037566,48.890246,45.752787585
